J,R,A,B,M,N
1475,0.00716501,46,45,53,54
1476,0.00333951,46,45,54,55
1477,0.785398,46,44,48,50
1478,0.0863716,46,44,50,52
1479,0.0275188,46,44,52,54
1480,0.00918605,46,44,54,56
1481,0.231399,46,43,49,52
1482,0.0400113,46,43,52,55
1483,0.14681,46,42,50,54
1484,0.090979,46,41,51,56
1486,0.286844,47,46,49,50
1487,0.0937339,47,46,50,51
1488,0.0354002,47,46,51,52
1489,0.0200386,47,46,52,53
1490,0.0111734,47,46,53,54
1491,0.00642914,47,46,54,55
1492,0.00333414,47,46,55,56
1493,0.502413,47,45,49,51
1494,0.0840924,47,45,51,53
1495,0.0280998,47,45,53,55
1496,0.254269,47,44,50,53
1497,0.0405574,47,44,53,56
1498,0.146544,47,43,51,55
1499,1.86109,48,47,49,50
1500,0.21959,48,47,50,51
1501,0.05789,48,47,51,52
1502,0.0281378,48,47,52,53
1503,0.0148336,48,47,53,54
1504,0.00848582,48,47,54,55
1505,0.0038279,48,47,55,56
1506,0.404461,48,46,50,52
1507,0.0738565,48,46,52,54
1508,0.0219343,48,46,54,56
1509,0.20406,48,45,51,54
1510,0.133277,48,44,52,56
1511,2.5053,49,48,50,51
1512,0.203611,49,48,51,52
1513,0.0793791,49,48,52,53
1514,0.0371254,49,48,53,54
1515,0.0193818,49,48,54,55
1516,0.00858114,49,48,55,56
1517,0.373063,49,47,51,53
1518,0.079767,49,47,53,55
1519,0.225234,49,46,52,55
1520,1.4137,50,49,51,52
1521,0.199222,50,49,52,53
1522,0.0751621,50,49,53,54
1523,0.0339989,50,49,54,55
1524,0.0139374,50,49,55,56
1525,0.389152,50,48,52,54
1526,0.0755817,50,48,54,56
1527,0.216052,50,47,53,56
1528,1.00958,51,50,52,53
1529,0.221703,51,50,53,54
1530,0.0825237,51,50,54,55
1531,0.0299827,51,50,55,56
1532,0.416742,51,49,53,55
1533,1.53802,52,51,53,54
1534,0.19304,52,51,54,55
1535,0.0565334,52,51,55,56
1536,0.36147,52,50,54,56
1537,1.1973,53,52,54,55
1538,0.161925,53,52,55,56
1539,0.99474,54,53,55,56
1540,0.572097,1,13,3,4
1541,0.261185,1,13,4,5
1542,0.154038,1,13,5,6
1543,0.0977389,1,13,6,7
1544,0.209555,1,13,9,10
1545,0.343797,1,13,10,11
1546,0.602309,7,19,9,10
1547,0.191488,7,19,10,11
1548,0.129221,7,19,11,12
1549,0.0941683,7,19,12,13
1550,0.488598,7,19,15,16
1552,0.387517,13,25,15,16
1553,0.193949,13,25,16,17
1554,0.113788,13,25,17,18
1555,0.102101,13,25,18,19
1556,0.165233,13,25,19,20
1557,0.386738,13,25,20,21
1562,0.294855,19,31,23,24
1563,0.17525,19,31,24,25
1564,0.169804,19,31,25,26
1565,0.314261,19,31,26,27
1570,0.501304,25,37,29,30
1571,0.181753,25,37,30,31
1572,0.0927311,25,37,31,32
1573,0.104033,25,37,32,33
1574,0.219323,25,37,33,34
1575,1.02338,25,37,34,35
1578,0.401366,31,43,35,36
1579,0.103958,31,43,36,37
1580,0.0615411,31,43,37,38
1581,0.0938467,31,43,38,39
1582,0.201343,31,43,39,40
1583,0.844609,31,43,40,41
1584,0.585282,37,49,39,40
1585,0.193154,37,49,40,41
1586,0.0810566,37,49,41,42
1587,0.083337,37,49,42,43
1588,0.0618679,37,49,43,44
1589,0.101893,37,49,44,45
1590,0.183392,37,49,45,46
1591,0.475783,37,49,46,47
1592,0.991999,43,55,45,46
1593,0.194839,43,55,46,47
1594,0.0783385,43,55,47,48
1595,0.0784792,43,55,48,49
1596,0.0661718,43,55,49,50
1597,0.100679,43,55,50,51
1598,0.145693,43,55,51,52
1599,0.326427,43,55,52,53
1600,0.401278,1,23,4,6
1601,0.0193459,1,23,10,12
1602,0.135073,1,23,16,18
1604,0.312819,12,34,15,17
1605,0.0418666,12,34,17,19
1606,0.0378121,12,34,19,21
1607,0.0262309,12,34,21,23
1608,0.0148469,12,34,23,25
1609,0.0342954,12,34,25,27
1610,0.176254,12,34,27,29
1613,0.262988,23,45,28,30
1614,0.0407261,23,45,30,32
1615,0.0251557,23,45,32,34
1616,0.0173641,23,45,34,36
1617,0.035421,23,45,36,38
1618,0.0787883,23,45,38,40
1619,0.29174,23,45,40,42
1620,0.2506,34,56,37,39
1621,0.09938,34,56,39,41
1622,0.0320383,34,56,41,43
1623,0.0210868,34,56,43,45
1624,0.0216417,34,56,45,47
1625,0.0353261,34,56,47,49
1626,0.0822601,34,56,49,51
1627,0.240805,34,56,51,53
1628,0.00247083,1,33,17,20
1629,0.0229147,1,33,20,23
1630,0.0458925,1,33,23,26
1631,0.593573,1,33,26,29
1632,0.211273,16,48,20,23
1633,0.0408037,16,48,23,26
1634,0.0163894,16,48,26,29
1635,0.00875151,16,48,29,32
1636,0.00852117,16,48,32,35
1637,0.0150074,16,48,35,38
1638,0.0396908,16,48,38,41
1639,0.148308,16,48,41,44
1640,0.14753,1,43,6,10
1641,0.00506576,1,43,18,22
1642,0.00468891,1,43,22,26
1643,0.00799509,1,43,26,30
1644,0.021862,1,43,30,34
1645,0.106053,1,43,34,38
1646,0.100296,1,53,7,12
1647,0.0107689,1,53,12,17
1648,0.00502223,1,53,17,22
1649,0.00440703,1,53,22,27
1650,0.00307107,1,53,27,32
1651,0.0066757,1,53,32,37
1652,0.0126285,1,53,37,42
1653,0.0752865,1,53,42,47
1654,0.371726,56,44,54,53
1655,0.164586,56,44,53,52
1656,0.0946469,56,44,52,51
1657,0.0787315,56,44,51,50
1658,0.0680231,56,44,50,49
1659,0.106528,56,44,49,48
1660,0.136229,56,44,48,47
1661,0.547338,56,44,47,46
1662,0.351811,50,38,48,47
1663,0.186883,50,38,47,46
1664,0.108026,50,38,46,45
1665,0.0800573,50,38,45,44
1666,0.0643809,50,38,44,43
1667,0.108355,50,38,43,42
1668,0.136735,50,38,42,41
1669,0.591444,50,38,41,40
1670,0.905975,44,32,42,41
1671,0.237551,44,32,41,40
1672,0.107754,44,32,40,39
1673,0.0733945,44,32,39,38
1674,0.0635461,44,32,38,37
1675,0.229587,44,32,37,36
1680,0.036799,38,26,34,33
1681,0.0804053,38,26,33,32
1682,0.162744,38,26,32,31
1683,0.5264,38,26,31,30
1688,0.398754,32,20,28,27
1689,0.126557,32,20,27,26
1690,0.161527,32,20,26,25
1691,0.432159,32,20,25,24
1694,0.169765,56,24,52,49
1695,0.0307942,56,24,49,46
1696,0.0154892,56,24,46,43
1697,0.00998984,56,24,43,40
1698,0.00820171,56,24,40,37
1699,0.0162474,56,24,37,34
1700,0.0475293,56,24,34,31
1702,0.165885,41,9,37,34
1703,0.0275652,41,9,34,31
1704,0.0152699,41,9,31,28
1705,0.00771984,41,9,28,25
1706,0.00707249,41,9,25,22
1707,0.0172677,41,9,22,19
1708,0.0454512,41,9,19,16
1709,0.190057,41,9,16,13
1710,0.0748162,56,4,50,45
1711,0.0137325,56,4,45,40
1712,0.00625938,56,4,40,35
1713,0.00409244,56,4,35,30
1714,0.00356361,56,4,30,25
1715,0.0053212,56,4,25,20
1716,0.0143354,56,4,20,15
1717,0.079549,56,4,15,10
1718,1.19502,54,55,53,52
1719,0.19576,54,55,52,51
1720,0.0826141,54,55,51,50
1721,0.0337319,54,55,50,49
1722,0.0196158,54,55,49,48
1723,0.00815889,54,55,48,47
1724,0.00680588,54,55,47,46
1725,0.00377045,54,55,46,45
1726,0.00895286,51,53,43,41
1727,0.00569881,51,53,41,39
1728,0.00169171,51,53,39,37
1729,0.000886347,51,53,37,35
1730,0.000407096,51,53,35,33
1731,1.88619,49,50,48,47
1732,0.285261,49,50,47,46
1733,0.0821379,49,50,46,45
1734,0.033541,49,50,45,44
1735,0.0147487,49,50,44,43
1736,0.00976581,49,50,43,42
1737,0.00414229,49,50,42,41
1738,0.00371661,49,50,41,40
1741,0.129409,45,46,42,41
1742,0.0455394,45,46,41,40
1743,0.0215197,45,46,40,39
1744,0.0111926,45,46,39,38
1745,0.00605702,45,46,38,37
1746,0.00460547,45,46,37,36
1747,0.00983463,43,45,35,33
1748,0.00463072,43,45,33,31
1749,0.00151428,43,45,31,29
1750,0.00177362,43,45,29,27
1752,0.000860265,41,44,23,20
1753,0.000419156,41,44,20,17
1755,0.532901,38,39,36,35
1756,0.0868961,38,39,35,34
1757,0.0333459,38,39,34,33
1758,0.0162702,38,39,33,32
1759,0.00928673,38,39,32,31
1760,0.00524701,38,39,31,30
1761,0.00216013,38,39,30,29
1765,0.00114867,30,33,9,6
1766,0.000258114,30,33,6,3
1767,0.00181877,27,30,9,6
1768,0.00044136,27,30,6,3
1769,0.00980548,23,25,15,13
1770,0.00536957,23,25,13,11
1771,0.00309983,23,25,11,9
1773,0.000821138,23,25,7,5
1776,0.0196,18,19,13,12
1777,0.0115632,18,19,12,11
1778,0.00601014,18,19,11,10
1779,0.00594801,18,19,10,9
1780,1.58281,5,6,4,3
1781,0.368569,5,6,3,2
1782,0.146316,5,6,2,1
1783,1.86732,3,4,2,1
